source,title,url,summary,tags,published,score,Primary,Secondary,group_id,group_size
Beauty Independent,Biotech Firm Cellugy Scores $9.25M Grant To Replace Petrochemicals In Beauty Products,https://www.beautyindependent.com/biotech-firm-cellugy-9-25m-grant-funding/,"An eco-friendly alternative is no good if it can’t perform like the cheap, eco-unfriendly material it’s substituting. Cellugy is fully aware of that—and its goal is to replace xanthan and cellulose gums and petroleum-derived microplastics in cosmetics with lab-created ingredients that are equal in performance while being better for ... The post Biotech Firm Cellugy Scores $9.25M Grant To Replace Petrochemicals In Beauty Products appeared first on Beauty Independent .","['Deal Flow', 'beauty ingredients', 'biotech', 'biotechnology', 'Cellugy', 'EcoFLEXY', 'environment', 'funding', 'microplastics', 'petrochemical ingredients', 'petrochemicals', 'rheology modifier', 'sustainability']",2025-06-24T19:14:44,6,INDUSTRY,"FUNDING, SUSTAINABILITY",ungrouped,1
Business of Fashion,New York’s Fashion Workers Act Set to Go into Effect June 19,https://www.businessoffashion.com/news/workplace-talent/new-yorks-fashion-workers-act-set-to-go-into-effect-june-19/,"The Model Alliance, New York State Department of Labor and fashion industry stakeholders gathered Tuesday to celebrate the new law, which establishes regulations for fair treatment of models — including, preventing management agencies from charging unfair fees and giving models control over their likenesses created with AI.",[],2025-06-17T20:55:30,6,INDUSTRY,PARTNERSHIP,ungrouped,1
Business of Fashion,"As Kering’s Fashion Cools, Pomellato Heats Up",https://www.businessoffashion.com/articles/luxury/jewellery-kering-pomellato-sabina-belli/,"Even as demand for luxury goods stalls, Milanese jeweller Pomellato is gaining ground by appealing to self-purchasing women and expanding into high jewellery — a welcome win for Kering as it works to re-energise its portfolio.",[],2025-06-20T04:30:00,6,BRAND,"NEW LAUNCH, RETAIL STRATEGY",ungrouped,1
Business of Fashion,Chinese Makeup Brands Are Winning Over Global Consumers,https://www.businessoffashion.com/articles/professional/chinese-makeup-brands-are-winning-over-global-consumers/,"As the popularity of alternative social media platforms like RedNote grows outside of China, domestic beauty brands like Florasis and Judydoll are reaping the benefits.",[],2025-06-23T11:25:52,6,BRAND,"NEW LAUNCH, GEN Z",ungrouped,1
Beauty Independent,Why This Founder Walked Away From Large-Scale Retail Distribution—And What She’d Do Differently,https://www.beautyindependent.com/private-packs-founder-walked-away-retail-distribution/,"When founder Suzanne Sinatra saw her brand Private Packs for the last time at CVS, she wasn’t disappointed. “I did not think that I would be this happy that we’re leaving retail, but I’m looking forward to my stress coming down,” she says in a TikTok video posted June 5. “It really took ... The post Why This Founder Walked Away From Large-Scale Retail Distribution—And What She’d Do Differently appeared first on Beauty Independent .","['Expert Dialogue', 'black owned beauty brand', 'CVS', 'DTC', 'private packs', 'retail', 'retail distribution', 'sexual health', 'Suzanne Sinatra', 'Target', 'vulva', 'vulva products']",2025-06-25T23:50:51,5,RETAIL,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Nike Delays Launch for New Brand With Kim Kardashian’s Skims,https://www.businessoffashion.com/news/retail/nike-delays-launch-for-new-brand-with-kim-kardashians-skims/,"Despite the delays, Nike still expects to release NikeSkims products sometime this year, Bloomberg reported.",[],2025-06-18T17:48:45,5,BRAND,"PARTNERSHIP, NEW LAUNCH",ungrouped,1
Glossy,"Unilever’s new acquisition, Glossier’s CEO shakeup — plus, Arrae’s Siff Haider on forecasting wellness trends before they hit big",https://www.glossy.co/podcasts/how-siff-haider-co-founder-of-arrae-forecasts-wellness-trends-before-they-hit-it-big/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"In the big wide world of health and wellness, there is always a buzzword du jour. In the past couple months, you've likely heard buzz about gut health and GLP-1s, ingredients like creatine and colostrum, and, of course, protein. For many of these trends, Arrae, the supplement brand co-founded by Siffat ""Siff"" Haider and her husband, Nishant Samantray, has been right there, answering consumer demand with a product featuring that of-the-moment ingredient or speaking to a top-of-mind concern.","['Beauty', 'Podcasts']",2025-06-26T04:00:00,5,BRAND,"NEW LAUNCH, GEN Z",ungrouped,1
Glossy,Fashion Briefing: How H&M is using real-time data to merchandise stores based on optimal sales,https://www.glossy.co/fashion/fashion-briefing-how-hm-is-using-real-time-data-to-merchandise-stores-based-on-optimal-sales/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"In this week's fashion briefing, a deep dive into how H&#38;M is putting data into the hands of store associates to convert customers. Also, what brands should look out for with Google's in-search checkout, plus future retail trends from The Future Laboratory and the latest earnings from Vince.","['Fashion', 'Glossy+', 'plus']",2025-06-19T11:10:55,5,RETAIL,RETAIL STRATEGY,ungrouped,1
Business of Fashion,"Swedish Textile Recycler Syre to Partner With Gap, Target as Demand for Sustainable Clothing Grows",https://www.businessoffashion.com/news/sustainability/swedish-textile-recycler-syre-to-partner-with-gap-target-as-demand-for-sustainable-clothing-grows/,The H&amp;M-backed textile recycling firm will supply the US retailers with recycled polyester.,[],2025-06-24T14:43:15,5,INDUSTRY,PARTNERSHIP,ungrouped,1
Glossy,Anthropologie’s ‘Tobie’ dress is the unexpected style of the summer,https://www.glossy.co/fashion/anthropologies-tobie-dress-is-the-unexpected-style-of-the-summer/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"On Thursday, Katie Sturino (803,000 Instagram followers) and Lindsay Silberman (214,000 Instagram followers) posted about the same dress. The dress, which is called the Tobie and made by a brand called Exquise, is sold exclusively at URBN-owned Anthropologie. It's available in multiple lengths and fabrics, and ranges in price from $178-$228. And, although it has been popular since its launch in February 2024, it may just be the dress of summer 2025.","['Fashion', 'Pop']",2025-06-24T04:00:00,5,BRAND,"NEW LAUNCH, GEN Z",ungrouped,1
Business of Fashion,The Founders Pushing African Fragrance Into the Mainstream,https://www.businessoffashion.com/articles/beauty/african-fragrance-brands-havent-hit-the-mainstream-yet-these-founders-want-to-change-that/,"Across the continent, a handful of nascent brands are attempting to kickstart the continent’s own niche perfume moment. Success will take mastery of retail, e-commerce and branding across borders.",[],2024-10-15T04:45:00,5,FRAGRANCE,News,ungrouped,1
Business of Fashion,Ready for Relaunch? Jonathan Anderson’s Dior Challenge,https://www.businessoffashion.com/articles/luxury/jonathan-anderson-dior-lvmh-turnaround-basquiat-warhol-mbappe/,The stakes are high for the designer’s debut at the French megabrand as owner LVMH faces mounting pressure to resolve problem areas in its portfolio.,[],2025-06-25T04:00:00,5,BRAND,FINANCIALS,ungrouped,1
Glossy,Goop plans for 20-30 new brick-and-mortar locations as it opens its 7th permanent store,https://www.glossy.co/beauty/goop-plans-for-20-30-new-brick-and-mortar-locations-as-it-opens-its-7th-permanent-store-this-weekend/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Goop’s in-house brands, Goop Beauty and G Label, will fill 80% of the new 647-square-foot Aspen storefront. It marks the company’s seventh permanent location, with 20-30 more to come over the next few years, Matthew Blythe, Goop’s vp of retail, told Glossy.","['Beauty', 'Wellness']",2025-06-19T04:05:00,5,RETAIL,RETAIL STRATEGY,ungrouped,1
Business of Fashion,Fantastic Man Magazine Launches in China,https://www.businessoffashion.com/news/media/fantastic-man-magazine-launches-in-china/,Former Yves Saint Laurent creative director Stefano Pilati will join Fantastic Man China as editor at large.,[],2025-06-26T04:00:00,5,BRAND,"NEW LAUNCH, PARTNERSHIP",ungrouped,1
Business of Fashion,AI Shopping Platform Daydream Launches in the US,https://www.businessoffashion.com/news/technology/ai-shopping-platform-daydream-launches-in-the-us/,"The site, co-founded by Julie Bornstein, aims to reimagine online shopping with the capabilities of the large language models underlying AI tools such as ChatGPT.",[],2025-06-25T12:00:00,5,RETAIL,AI,ungrouped,1
Business of Fashion,The BoF Podcast | Tracee Ellis Ross: Understanding the Diversity of Humanity is Good Business,https://www.businessoffashion.com/podcasts/beauty/the-bof-podcast-tracee-ellis-ross-understanding-the-diversity-of-humanity-is-good-business/,"Tracee Ellis Ross shares her journey from Hollywood actress to entrepreneur with BoF founder and CEO Imran Amed, detailing the systemic changes she’s driving in the haircare industry.",[],2025-06-20T16:46:35,5,BRAND,"NEW LAUNCH, PARTNERSHIP",ungrouped,1
Business of Fashion,The End of the Founder-Led Era,https://www.businessoffashion.com/articles/beauty/state-of-fashion-beauty-report-founder-led-beauty-brands/,"Over the last decade, an avalanche of brands with public-facing founders emerged. While a prominent founder can propel growth, customers use other factors to assess whether a brand is suited to their needs, according The State of Fashion: Beauty Volume 2.",[],2025-06-26T04:30:00,4,INDUSTRY,News,ungrouped,1
Business of Fashion,The Aqua-for You Page,https://www.businessoffashion.com/articles/beauty/the-aqua-for-you-page/,Beauty brands spend billions marketing products to Gen-Z. But their current favourite skin balm doesn’t even have an ad campaign currently running. How is this happening?,[],2025-06-27T12:00:00,4,MARKETING,GEN Z,ungrouped,1
Business of Fashion,Exclusive: Bata Group Names Panos Mytaros as New CEO,https://www.businessoffashion.com/news/retail/bata-group-names-panos-mytaros-as-new-ceo/,"The former boss of Danish footwear brand Ecco will join Bata in September, taking over from Sandeep Kataria.",[],2025-06-16T12:00:00,4,INDUSTRY,News,ungrouped,1
Business of Fashion,Anna Wintour Makes Room for New Editorial Leader at US Vogue,https://www.businessoffashion.com/articles/media/anna-wintour-makes-room-for-new-editorial-leader-at-us-vogue/,Wintour has begun the search for a new ‘head of editorial content’ to steer day-to-day operations at the American edition of Vogue. The longtime editor-in-chief will continue to oversee the title as global editorial director of Vogue as well as chief content officer at publisher Condé Nast.,[],2025-06-26T17:35:12,4,INDUSTRY,News,ungrouped,1
Business of Fashion,EU Ditches Plans for Anti-Greenwashing Rules,https://www.businessoffashion.com/news/sustainability/eu-ditches-anti-greenwashing-rules/,The European Commission is abandoning regulation that would have required companies to back up green claims following pressure from conservative lawmakers.,[],2025-06-20T17:02:39,4,INDUSTRY,,ungrouped,1
Business of Fashion,Luxury Counterfeiters Are Outsmarting the Industry,https://www.businessoffashion.com/articles/luxury/luxury-counterfeits-vestiaire-collective-authentication/,Purveyors of secondhand luxury goods may be losing the fight against increasingly sophisticated counterfeiters. Do customers care?,[],2025-06-20T10:22:01,4,INDUSTRY,,ungrouped,1
Beauty Independent,"Rhode, Maëlys And Phlur Top Consumer Edge’s List Of Fastest-Growing DTC Beauty Companies For 2025",https://www.beautyindependent.com/rhode-maelys-phlur-consumer-edge-fastest-growing-dtc/,"Celebrity-driven and viral beauty brands, including Hailey Bieber’s Rhode, Maëlys and Phlur, have had the strongest direct-to-consumer sales growth in beauty this year, according to a new report by data analytics firm Consumer Edge on the top 40 and 20 DTC beauty companies in the United States and United Kingdom, respectively. ... The post Rhode, Maëlys And Phlur Top Consumer Edge’s List Of Fastest-Growing DTC Beauty Companies For 2025 appeared first on Beauty Independent .","['Brand Report', 'at-home wellness', 'beauty brands', 'beauty devices', 'beauty retail', 'beauty services', 'Consumer Edge', 'DTC', 'DTC sales', 'Maëlys', 'medical aesthetics', 'personalization', 'PHLUR', 'professional beauty', 'retail', 'Rhode', 'science-backed', 'social media']",2025-06-26T23:13:14,4,BRAND,"DTC, SOCIAL MEDIA",ungrouped,1
Glossy,‘Counting likes is no longer enough’: Beauty brands rethink strategy as a wellness focus becomes business-critical,https://www.glossy.co/beauty/counting-likes-is-no-longer-enough-beauty-brands-rethink-strategy-as-a-wellness-focus-becomes-business-critical/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"At a Glossy, CEW and Launchmetrics panel in London this week, beauty leaders gathered to discuss how the rise of wellness is reshaping brand strategy in the saturated, fast-moving world of beauty.","['Beauty', 'Wellness']",2025-06-27T04:01:00,4,BRAND,"GEN Z, WELLNESS",ungrouped,1
Business of Fashion,LA’s Protests Have Ended But Fashion Can’t Shake Off Its Fear,https://www.businessoffashion.com/articles/workplace-talent/las-protests-have-ended-but-fashion-cant-shake-off-its-fear/,"Following the ICE raids and a week of protests, the city’s fashion employers continue to fret about what’s to come as the White House continues its deportation campaign.",[],2025-06-19T04:30:00,4,INDUSTRY,News,ungrouped,1
Business of Fashion,Fashion’s Chaotic New Regulatory Reality,https://www.businessoffashion.com/articles/sustainability/fashion-chaotic-regulatory-reality-europe-sustainability-green-deal/,The regulatory environment is becoming more complicated as European politicians roll back on regulations that were intended to make the industry more sustainable.,[],2025-06-27T04:30:00,4,INDUSTRY,,ungrouped,1
Business of Fashion,UTA Names Darnell Strom to Lead London Office,https://www.businessoffashion.com/news/creative-class/uta-names-darnell-strom-to-lead-london-office/,"Strom will step into a newly created UK leadership role as the agency positions London as a hub for its expansion across Europe, the Middle East and Africa.",[],2025-06-23T10:00:00,4,INDUSTRY,News,ungrouped,1
Business of Fashion,Prada CEO Gianfranco D’Attis to Exit the Brand,https://www.businessoffashion.com/news/luxury/prada-ceo-gianfranco-dattis-leaves-andrea-guerra/,Prada Group’s chief executive Andrea Guerra will take on the role of the brand’s CEO on an interim basis.,[],2025-06-22T19:07:27,4,INDUSTRY,News,ungrouped,1
Glossy,‘Champion has to be back in pro sports’: How Authentic Brands Group is turning Champion around with sports league deals,https://www.glossy.co/fashion/champion-has-to-be-back-in-pro-sports-how-authentic-brands-group-is-turning-champion-around-with-sports-league-deals/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,Champion's new owners have a central strategy to turn the brand around: realigning it with professional sports.,"['Fashion', 'RevolutionBrandMarketingContentful']",2025-06-23T04:00:00,4,MARKETING,PARTNERSHIP,ungrouped,1
Business of Fashion,Target Explores Factory-Direct Shipping Model Used by Temu,https://www.businessoffashion.com/news/retail/target-explores-factory-direct-shipping-model-used-by-temu/,"The retailer is in early stages to broaden its range of low-cost offerings, which would primarily include apparel, household goods and other non-food items.",[],2025-06-24T21:49:44,3,RETAIL,News,ungrouped,1
Glossy,Inside Cowboy Colostrum’s summer of activations,https://www.glossy.co/beauty/glossy-pop-newsletter-inside-cowboy-colostrums-summer-of-activations/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Cowboy Colostrum just launched a third flavor of its powder hero product, Strawberry, and to celebrate, it is embarking on a summer of related activations — all on the East Coast, with a specific focus on the Hamptons.","['Beauty', 'Pop', 'RevolutionBrandMarketingContentful']",2025-06-20T04:02:00,3,MARKETING,NEW LAUNCH,ungrouped,1
Business of Fashion,Luxury Brands Bet on Experiential Retail to Revive China Sales,https://www.businessoffashion.com/news/luxury/luxury-brands-bet-on-experiential-retail-to-revive-china-sales/,"Louis Vuitton’s latest Shanghai store is a 30-metre-high, ship-shaped experience called ‘The Louis.’",[],2025-06-27T10:45:53,3,RETAIL,,ungrouped,1
Business of Fashion,Selfridges Wins Approval for Private Members’ Club,https://www.businessoffashion.com/news/luxury/selfridges-wins-approval-for-private-members-club/,The Westminster City Council approved an application to convert space in the department store’s flagship London outlet into a membership venue with a terrace and private dining room.,[],2025-06-24T21:54:27,3,RETAIL,News,ungrouped,1
Glossy,Why authors are fashion’s next top models,https://www.glossy.co/fashion/why-authors-are-fashions-next-top-models/?utm_campaign=glossydis&utm_medium=rss&utm_source=general-rss,"Ten years after literary icon Joan Didion appeared in a Phoebe Philo-era Céline campaign, writers like Zadie Smith and Ottessa Moshfegh are getting their due in fashion.","['Fashion', 'Luxury', 'RevolutionBrandMarketingContentful']",2025-06-23T04:02:00,3,MARKETING,PARTNERSHIP,ungrouped,1
Beauty Independent,Athena Club Founders Launch House Of Atlas To Disrupt Men’s Shaving And Personal Care,https://www.beautyindependent.com/athena-club-founders-launch-house-of-atlas-mens-shaving-personal-care/,"The his-and-hers shaving market has a new coupling with the launch of House of Atlas from the husband-and-wife team behind Athena Club , Maria and Charles Desmarais. New York-based House of Atlas is turning to the playbook that’s worked for Athena Club, which launched as a direct-to-consumer brand in ... The post Athena Club Founders Launch House Of Atlas To Disrupt Men’s Shaving And Personal Care appeared first on Beauty Independent .","['Brand Report', 'Athena Club', 'grooming', 'house of atlas', 'men', ""men's grooming"", ""men's personal care"", 'personal care', 'razors', 'shaving']",2025-06-24T20:31:46,3,BRAND,NEW LAUNCH,ungrouped,1
Business of Fashion,Exclusive: The Whitaker Group Expands With New Women-Centric Retailer Jaide,https://www.businessoffashion.com/news/retail/the-whitaker-group-jaide-opening/,It will be the US group’s first foray into women’s retail as it looks to expand its popular streetwear retail empire.,[],2025-06-23T04:28:00,3,RETAIL,News,ungrouped,1
